Filename	Notes	Audio Filename	UK (United Kingdom)	F (France)	D (Germany)	E (Spain)	IT (Italy)
TUTORIALBOOK4_6	"Instruction text to go with ""The Art of Surprise""."	s	Tasmanian Devils can frighten the life out of people. Press the @(square) button for a surprising costume attack.	Les diables de Tasmanie sont capables de prendre tout le monde par surprise. Appuyez sur la touche @(square) pour porter une attaque inattendue en costume.	"Tasmanische Teufel können die Leute zu Tode erschrecken. Drücke auf die @(square)-Taste, um einen verkleideten Überraschungsangriff zu starten."	Los demonios de Tasmania pueden pegar sustos de muerte a la gente. Pulsa el botón @(square) para lanzar un ataque sorpresa disfrazado.	Ai diavoli della Tasmania piace spaventare a morte la gente. Premi il tasto @(square) per un sorprendente attacco mascherato.
WELL_DONE	s	s	Well Done!	Bien joué !	Gut gemacht!	¡Bien hecho!	Ben fatto!
BAD_LUCK	s	s	Bad Luck!	Pas de bol !	Pech gehabt!	¡Mala suerte!	Che sfortuna!
BONUS_GOAL	Used to tell the player what the goal of the bonus game is. Number of checkpoints to race through etc.	s	Goal:   	Objectif:	Aufgaben:   	Propósito:	Obiettivo:   
BONUS_SCORE	Used to tell the player what their score is at the end of a bonus game. Number of crates etc.	s	Score:   	Score:	Punkte:   	Puntuación:	Punteggio:   
BONUS_TARGET	Used to tell the player what the target of the bonus game is. Number of crates to destroy etc.	s	Target:   	Cible:	Ziel:   	Objetivo:	Tempo massimo:   
BONUS_TIME	Used to tell the player what their time is at the end of a bonus game.	s	Time:   	Temps:	Zeit:   	Tiempo:	Tempo:   
BONUS	"Used to tell the player what $ bounty bonus they have earned, if any."	s	Bonus:   	Bonus:	Bonus:   	Extra:   	Bonus:   
DNF	"Abbreviation for ""Did Not Finish"" in race games."	s	DNF	Ecoulé	Nicht ins Ziel gekommen	Sin terminar	NQ
MP_TAZ	s	s	Taz	Taz	Taz	Taz	Taz
MP_SHEDEVIL	s	s	She Devil	Tazette	Teufelin	Diablesa	Sheila
MP_TOTAL	s	s	Total	Total	Gesamt	Total	Totale
MP_LAP1	s	s	Lap 1	Tour 1	1. Runde	Vuelta 1	Giro 1
MP_LAP2	s	s	Lap 2	Tour 2	2. Runde	Vuelta 2	Giro 2
MP_LAP3	s	s	Lap 3	Tour 3	3. Runde	Vuelta 3	Giro 3
MP_LAP4	s	s	Lap 4	Tour 4	4. Runde	Vuelta 4	Giro 4
MP_CHECKPOINTS	s	s	Checkpoints	points de contrôle	Kontrollpunkte	Controles	Intermedi
SECRET_ITEM_FOUND	Text printed when the player finds the secret item on a level.	s	Well Done! You've found the secret item! But Sam's just raised the bounty on you!	Bien joué ! Vous avez trouvé l'objet secret ! Mais Sam vient juste d'augmenter la récompense offerte pour votre capture...	Gut gemacht! Du hast das Geheim-Item gefunden! Aber Sam hat gerade dein Kopfgeld erhöht!	¡Bien hecho! ¡Has encontrado el objeto secreto! Pero Sam acaba de aumentar la recompensa por tu cabeza.	Ben fatto! Hai trovato un oggetto segreto! Ma Sam ha alzato la taglia sulla tua testa!
HUNDRED_COLLECTIBLES	Text printed when the player has collected 100 items and therefore unlocked the bonus game for that level.	s	Congratulations! You've got 100 sandwiches! Now you can play the bonus game!	"Félicitations ! Vous avez désormais 100 en-cas, ce qui vous permet de participer au jeu bonus !"	Glückwunsch! Du hast 100 Gegenstände gesammelt! Jetzt kannst du das Bonus-Spiel spielen!	¡Enhorabuena! ¡Has acumulado 100 objetos! Ahora puedes participar en el juego extra conseguido.	Congratulazioni! Hai raccolto 100 oggetti! Adesso puoi affrontare il gioco bonus!
FOUND	Printed in the summary screen if the player has found the secret item.	s	Found	Trouvé	Gefunden	Encontrado	Trovato
NOT_FOUND	Printed in the summary screen if the player has not found the secret item.	s	Not Found	Non trouvé	Nicht gefunden	No encontrado	Non trovato
DESTRUCTION_BONUS	Text printed when the player reaches the target % of items destroyed on a level.	s	Fantastic! You've reached your destruction bonus! 	Fantastique ! Vous avez atteint le bonus de destruction !	Fantastisch! Du hast deinen Zerstörungsbonus erreicht! 	¡Fabuloso! Has conseguido completar el objetivo de destrucción.	Fantastico! Hai raggiunto il bonus distruzione necessario!
BROWSETUTORIAL	Instructional text printed at the bottom of the virtual book that contains the pages of the tutorial.	s	@(left) Browse Pages @(right)	@(left) Parcourir les pages @(right)	@(left) Seiten durchblättern @(right)	@(left) Pasar páginas @(right)	@(left) Sfoglia pagine @(right)
BROWSEGALLERY	Instructional text printed at the bottom of the virtual book that contains the pages of the gallery.	s	@(up) Browse Pages @(down)	@(up) Parcourir les pages @(down)	@(up) Seiten durchblättern @(down)	@(up) Pasar páginas @(down)	@(up) Sfoglia pagine @(down)
CROSS_FLYBY_SQUARE_HINT	"Instructional text printed on the area map in-game. The player can get a video clip of where a Taz: Wanted poster is, or get a hint as to how to destroy it."	s	@(cross) Video @(square) Hint	@(cross) Vidéo @(square) Indice	@(cross) Video @(square) Tipp	@(cross) Vídeo @(square) Pista	@(cross) Video @(square) Consiglio
CROSS_FLYBY	The above text has been split into two separate strings to aid positioning. This refers to the instructional text for the video clip.	s	@(cross) Video	@(cross) Vidéo	@(cross) Video	@(cross) Vídeo	@(cross) Video
SQUARE_HINT	This refers to the instructional text for the Hint.	s	@(square) Hint	@(square) Indice	@(square) Tipp	@(square) Pista	@(square) Consiglio
POLICEBOX_NOT_OPEN	The bonus games are accessed via blue police boxes. The text tells the player that they can't get in there as yet.	s	You can't get in there yet!	Vous ne pouvez pas aller là !	Du kannst dort noch nicht rein!	¡Todavía no puedes entrar ahí!	Non puoi ancora accedervi!
HUB_BOSSGAMESTAT	Until the player has completed all three levels in a world hub they can't progress to the boss game.	s	You can't face the world boss until you've completed all three levels..	Vous ne pouvez pas affronter le boss du monde avant d'avoir terminé les trois niveaux.	"Du kannst dich dem Endgegner erst stellen, wenn Du alle drei Levels abgeschlossen hast."	No puedes enfrentarte al jefe del mundo mientras que no hayas completado los tres niveles.	Non puoi affrontare il boss finale prima di aver completato tutti e tre i livelli.
BOSSRULES_ZOO_BOSS	Rules for the game of Elephant Pong.	s	An ancient scaring competition.\n\n Press @(square) to scare the elephant away. Players score points by scaring the elephant into their opponents' goal. The first player to scare their way to 3 goals wins!	Faites peur à l'éléphant !\n\n Appuyez sur la touche @(square) pour le faire fuir. Vous marquez un point chaque fois que vous envoyez l'éléphant dans les buts adverses. Le vainqueur est le premier à marquer 3 buts.	"Ein uralter Wettkampf im Erschrecken.\n\n Drücke auf die @(square)-Taste, um den Elefanten zu erschrecken. Punkte gibt es, wenn man es schafft, den Elefanten ins gegnerische Tor zu jagen. Der erste, der 3 Tore herbeigeschreckt hat, gewinnt!"	"Antiguo juego, susto va y susto viene.\n\n Pulsa  el botón@(square) para asustar al elefante. Se consiguen tantos cuando asustándolo se consigue llevarlo al campo del adversario. El primer jugador que consiga tres tantos ""de susto"" gana."	Un'antica competizione all'insegna della paura.\n\n Premi il tasto @(square) per terrorizzare l'elefante. I giocatori mettono a segno dei punti spaventando l'elefante e spingendolo nella rete avversaria. Il primo giocatore che raggiunge i 3 punti vince.
BOSSRULES_MP_ZOO_BOSS	Rules for the game of Elephant Pong.	s	An ancient scaring competition.\n\n Press @(square) to scare the elephant away. Players score points by scaring the elephant into their opponents' goal. The first player to scare their way to 5 goals wins!	Faites peur à l'éléphant !\n\n Appuyez sur la touche @(square) pour le faire fuir. Vous marquez un point chaque fois que vous envoyez l'éléphant dans les buts adverses. Le vainqueur est le premier à marquer 5 buts.	"Ein uralter Wettkampf im Erschrecken.\n\n Drücke auf die @(square)-Taste, um den Elefanten zu erschrecken. Punkte gibt es, wenn man es schafft, den Elefanten ins gegnerische Tor zu jagen. Der erste, der 5 Tore herbeigeschreckt hat, gewinnt!"	"Antiguo juego, susto va y susto viene.\n\n Pulsa  el botón@(square) para asustar al elefante. Se consiguen tantos cuando asustándolo se consigue llevarlo al campo del adversario. El primer jugador que consiga 5 tantos ""de susto"" gana."	Un'antica competizione all'insegna della paura.\n\n Premi il tasto @(square) per terrorizzare l'elefante. I giocatori mettono a segno dei punti spaventando l'elefante e spingendolo nella rete avversaria. Il primo giocatore che raggiunge i 5 punti vince.
BOSSRULES_CITY_BOSS	Rules for the Gladiatoons game.	s	Contenders roll huge spheres around the arena aiming for the light pods. If they roll over a light pod it will switch to their color. The winner is the contender who has the most pods lit in their color when the time runs out.	"Faites rouler votre sphère dans l'arène, en visant les lumières. Chaque fois que vous roulez sur l'une d'elles, elle prend votre couleur. Le vainqueur est celui qui a le plus de lumières de sa couleur au terme du temps imparti."	"Die Wettkämpfer rollen großen Kugeln durch die Arena und zielen dabei auf die Bodenleuchten. Wenn sie über eine Leuchte rollen, nimmt sie ihre Farbe an. Es gewinnt derjenige, der bei Ablauf der Zeit die meisten Leuchten in seiner Farbe hat."	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################
BOSSRULES_WEST_BOSS	Rules for the Dodge City game.	s	Yosemite Sam throws sticks of ACME TNT into the maze towards Taz. To progress Taz must lure Sam into destroying his own fragile crates blocking his path. And there are also four firework crates surrounding Sam that need to be set off to win.	###############################################################################################################################################################################################################################################################	"Sam wirft ACME TNT-Stangen ins Labyrinth, in Taz' Richtung. Taz muss Sam dazu verleiten, die morschen Kisten zu zerstören, die ihm den Weg versperren. Und dann sind da 4 Kisten voller Feuerwerkskörper in Sams Nähe, die für einen Sieg explodieren müssen."	###############################################################################################################################################################################################################################################################	###############################################################################################################################################################################################################################################################
BOSSRULES_TAZ_PREBOSS	Rules for the Disco Volcano game.	s	Yosemite Sam is trying to blow up Taz's home. When Sam jumps onto the plunger Taz needs to scorch him off using flaming hot chili breath. Catch him in the act 6 times and it's game over for Sam.	"Sam le Pirate essaye de faire exploser la maison de Taz. Quand Sam saute sur le détonateur, Taz doit lui griller la barbe en utilisant son souffle  brûlant. Touchez-le 6 fois et c'en est fini de lui !"	"Yosemite Sam versucht Taz' Haus in die Luft zu jagen. Wenn Sam auf die Zündvorrichtung springt, muss Taz ihn mit seinem heißen Pepperoni-Atem versengen. Wenn du ihn 6 Mal auf frischer Tat ertappst, ist das Spiel für Sam aus."	Yosemite Sam está intentando hacer saltar por los aires la casa de Taz. Cuando Sam salta sobre el detonador Taz tiene que hacerle escapar achicharrándole con una llamarada de su boca. Píllale en el acto 6 veces y el juego habrá terminado para Sam.	"Yosemite Sam sta cercando di far saltare in aria la casa di Taz. Quando Sam salta sul detonatore, Taz lo deve abbrustolire utilizzando il suo terribile alito al chili. Colpiscilo sei volte e sarà la fine del vecchio Sam."
BOSSRULES_TAZ_BOSS	Rules for the Dread Zeppelin game.	s	Stage 1 - Mecha-Tweety's shield has a weakness... \nStage 2 - Tweety's power source is the magnet cores. Reverse the polarity. \nStage 3 - The back cargo door has 4 time coded locks. Take them out in the right order and it's hasta la vista Tweety!	###############################################################################################################################################################################################################################################################	Szene 1 - Robo-Tweetys Rüstung hat einen Schwachpunkt... \nSzene 2 - Tweetys Energiequelle sind die Magnetkerne. Kehr die Polarität um. \nDie hintere Ladetür hat 4 Zeitschlösser. Nimm sie in der richtigen Reihenfolge heraus und dann hasta la vista Tweety!	###############################################################################################################################################################################################################################################################	Fase 1 - L'armatura di Robo-Titti ha una debolezza... \nFase 2 - La fonte di energia di Titti è il suo cuore magnetico: inverti la polarità. \nL'ingresso di servizio ha 4 serrature a tempo. Sbarazzatene nella giusta sequenza e dì addio al caro Titti!
LANGUAGE_ENGLISH	No need to localise	s	English	English	English	English	English
LANGUAGE_FRENCH	No need to localise	s	Français	Français	Français	Français	Français
LANGUAGE_SPANISH	No need to localise	s	Español	Español	Español	Español	Español
LANGUAGE_GERMAN	No need to localise	s	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch
LANGUAGE_DUTCH	No need to localise	s	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands
LANGUAGE_ITALIAN	No need to localise	s	Italiano	Italiano	Italiano	Italiano	Italiano
LANGUAGE_PORTUGESE	No need to localise	s	Portugese	Portugese	Portugese	Portugese	Portugese
LANGUAGE_BRAZILIAN	No need to localise	s	Brazilian	Brazilian	Brazilian	Brazilian	Brazilian
TEST	No need to localise	s	-	-	-	-	-
CREDITS_TEAM_PHOENIX_PRODUCTION	In-game credits text.		A Team Phoenix Production	A Team Phoenix Production	A Team Phoenix Production	A Team Phoenix Production	A Team Phoenix Production
CREDITS_BLITZ			Blitz Games Limited	Blitz Games Limited	Blitz Games Limited	Blitz Games Limited	Blitz Games Limited
CREDITS_BRUNO			Bruno Bonnell	Bruno Bonnell	Bruno Bonnell	Bruno Bonnell	Bruno Bonnell
CREDITS_PRESENTS	As in Bruno Bonnell Presents		Presents	Presents	Presents	Presents	Presents
CREDITS_PROD_MAN			Project Manager	Project Manager	Project Manager	Project Manager	Project Manager
CREDITS_TECH_MAN			Technical Manager	Technical Manager	Technical Manager	Technical Manager	Technical Manager
CREDITS_CREATE_MAN			Creative Manager	Creative Manager	Creative Manager	Creative Manager	Creative Manager
CREDITS_DESIGN_COORD			Design Coordinator	Design Coordinator	Design Coordinator	Design Coordinator	Design Coordinator
CREDITS_PROG			Programmers	Programmers	Programmers	Programmers	Programmers
CREDITS_CHAR_ANIM			Character Animators	Character Animators	Character Animators	Character Animators	Character Animators
CREDITS_TEXTURE_ART			Texture Artists	Texture Artists	Texture Artists	Texture Artists	Texture Artists
CREDITS_3D_MODEL			3d Modelers	3d Modelers	3d Modelers	3d Modelers	3d Modelers
CREDITS_ADD_PROGR			Additional Programming	Additional Programming	Additional Programming	Additional Programming	Additional Programming
CREDITS_ADD_MODEL			Additional Modeling	Additional Modeling	Additional Modeling	Additional Modeling	Additional Modeling
CREDITS_ADD_DESIGN			Additional Design	Additional Design	Additional Design	Additional Design	Additional Design
CREDITS_ASSOC_PROJ_MAN			Associate Project Manager	Associate Project Manager	Associate Project Manager	Associate Project Manager	Associate Project Manager
CREDITS_TOOLS_AND_TECH			Tools and Technology	Tools and Technology	Tools and Technology	Tools and Technology	Tools and Technology
CREDITS_SOUND_ENGINE			Sound Engineer	Sound Engineer	Sound Engineer	Sound Engineer	Sound Engineer
CREDITS_MUSIC			Music	Music	Music	Music	Music
CREDITS_QA			Blitz Games QA	Blitz Games QA	Blitz Games QA	Blitz Games QA	Blitz Games QA
CREDITS_THANKS			Special Thanks	Special Thanks	Special Thanks	Special Thanks	Special Thanks
CREDITS_IT			IT and Hardware Support	IT and Hardware Support	IT and Hardware Support	IT and Hardware Support	IT and Hardware Support
CREDITS_PR			PR and Media	PR and Media	PR and Media	PR and Media	PR and Media
CREDITS_RECRUIT			Recruitment	Recruitment	Recruitment	Recruitment	Recruitment
CREDITS_ADMIN			Administration	Administration	Administration	Administration	Administration
CREDITS_REPS			Representation	Representation	Representation	Representation	Representation
CREDITS_ACCOUNTANT			Accountant	Accountant	Accountant	Accountant	Accountant
CREDITS_HUMAN_RESOURCE			Human Resources Director	Human Resources Director	Human Resources Director	Human Resources Director	Human Resources Director
CREDITS_COMMERCIAL_DIR			Commercial Director	Commercial Director	Commercial Director	Commercial Director	Commercial Director
CREDITS_DEV_DIR			Development Director	Development Director	Development Director	Development Director	Development Director
CREDITS_CEO			CEO & Managing Director	CEO & Managing Director	CEO & Managing Director	CEO & Managing Director	CEO & Managing Director
CREDITS_DESIGNED_AND_DEVELOPED			Designed and Developed by	Designed and Developed by	Designed and Developed by	Designed and Developed by	Designed and Developed by
CREDITS_NAMES_JCARTWRIGHT			Jon Cartwright	Jon Cartwright	Jon Cartwright	Jon Cartwright	Jon Cartwright
CREDITS_NAMES_TPOVEY			Tony Povey	Tony Povey	Tony Povey	Tony Povey	Tony Povey
CREDITS_NAMES_IPESTRIDGE			Ian Pestridge	Ian Pestridge	Ian Pestridge	Ian Pestridge	Ian Pestridge
CREDITS_NAMES_SWEST			Scott West	Scott West	Scott West	Scott West	Scott West
CREDITS_NAMES_CDAREAU			Claude Dareau	Claude Dareau	Claude Dareau	Claude Dareau	Claude Dareau
CREDITS_NAMES_PPALMER			Phil Palmer	Phil Palmer	Phil Palmer	Phil Palmer	Phil Palmer
CREDITS_NAMES_NHIGGS			Nigel Higgs	Nigel Higgs	Nigel Higgs	Nigel Higgs	Nigel Higgs
CREDITS_NAMES_JWEEKS			John Weeks	John Weeks	John Weeks	John Weeks	John Weeks
CREDITS_NAMES_EQUIGLEY			Eoghan Quigley	Eoghan Quigley	Eoghan Quigley	Eoghan Quigley	Eoghan Quigley
CREDITS_NAMES_NPETTITT			Neil Pettitt	Neil Pettitt	Neil Pettitt	Neil Pettitt	Neil Pettitt
CREDITS_NAMES_CSOUTHALL			Chris Southall	Chris Southall	Chris Southall	Chris Southall	Chris Southall
CREDITS_NAMES_MBUCKINGHAM			Marc Buckingham	Marc Buckingham	Marc Buckingham	Marc Buckingham	Marc Buckingham
CREDITS_NAMES_DWEBB			David Webb	David Webb	David Webb	David Webb	David Webb
CREDITS_NAMES_TADAMS			Tom Adams	Tom Adams	Tom Adams	Tom Adams	Tom Adams
CREDITS_NAMES_AHODGSON			Auburn Hodgson	Auburn Hodgson	Auburn Hodgson	Auburn Hodgson	Auburn Hodgson
CREDITS_NAMES_DNOURISH			Darren Nourish	Darren Nourish	Darren Nourish	Darren Nourish	Darren Nourish
CREDITS_NAMES_FTEDESCHI			Furio Tedeschi	Furio Tedeschi	Furio Tedeschi	Furio Tedeschi	Furio Tedeschi
CREDITS_NAMES_CSANDELL			Chris Sandell	Chris Sandell	Chris Sandell	Chris Sandell	Chris Sandell
CREDITS_NAMES_JCHILDS			James Childs	James Childs	James Childs	James Childs	James Childs
CREDITS_NAMES_SORCHARD			Scott Orchard	Scott Orchard	Scott Orchard	Scott Orchard	Scott Orchard
CREDITS_NAMES_CWILSON			Chris Wilson	Chris Wilson	Chris Wilson	Chris Wilson	Chris Wilson
CREDITS_NAMES_DSERAFIM			David Serafim	David Serafim	David Serafim	David Serafim	David Serafim
CREDITS_NAMES_DFLYNN			David Flynn	David Flynn	David Flynn	David Flynn	David Flynn
CREDITS_NAMES_DWHITEHEAD			David Whitehead	David Whitehead	David Whitehead	David Whitehead	David Whitehead
CREDITS_NAMES_DPINKNEY			David Pinkney	David Pinkney	David Pinkney	David Pinkney	David Pinkney
CREDITS_NAMES_GAMEWORLD7			GameWorld7 Ltd	GameWorld7 Ltd	GameWorld7 Ltd	GameWorld7 Ltd	GameWorld7 Ltd
CREDITS_NAMES_SSMITH			Simon Smith	Simon Smith	Simon Smith	Simon Smith	Simon Smith
CREDITS_NAMES_DNIMMO			Duncan Nimmo	Duncan Nimmo	Duncan Nimmo	Duncan Nimmo	Duncan Nimmo
CREDITS_NAMES_CVIGGERS			Chris Viggers	Chris Viggers	Chris Viggers	Chris Viggers	Chris Viggers
CREDITS_NAMES_JWHIGHAM			John Whigham	John Whigham	John Whigham	John Whigham	John Whigham
CREDITS_NAMES_ASIDWELL			Andrew Sidwell	Andrew Sidwell	Andrew Sidwell	Andrew Sidwell	Andrew Sidwell
CREDITS_NAMES_ASLATER			Andrew Slater	Andrew Slater	Andrew Slater	Andrew Slater	Andrew Slater
CREDITS_NAMES_TEWHITTOCK			Thomas Elizabeth Whittock	Thomas Elizabeth Whittock	Thomas Elizabeth Whittock	Thomas Elizabeth Whittock	Thomas Elizabeth Whittock
CREDITS_NAMES_LHOMEWOOD			Lyndon Homewood	Lyndon Homewood	Lyndon Homewood	Lyndon Homewood	Lyndon Homewood
CREDITS_NAMES_AMORRIS			Andrew Morris	Andrew Morris	Andrew Morris	Andrew Morris	Andrew Morris
CREDITS_NAMES_NIMROD			Nimrod Productions Ltd	Nimrod Productions Ltd	Nimrod Productions Ltd	Nimrod Productions Ltd	Nimrod Productions Ltd
CREDITS_NAMES_JTAINSH			Jonathan Tainsh	Jonathan Tainsh	Jonathan Tainsh	Jonathan Tainsh	Jonathan Tainsh
CREDITS_NAMES_BFIELD			Ben Field	Ben Field	Ben Field	Ben Field	Ben Field
CREDITS_NAMES_TCHEUNG			Tsoek Cheung	Tsoek Cheung	Tsoek Cheung	Tsoek Cheung	Tsoek Cheung
CREDITS_NAMES_JHEALEY			James Healey	James Healey	James Healey	James Healey	James Healey
CREDITS_NAMES_JCORRIGAN			James Corrigan	James Corrigan	James Corrigan	James Corrigan	James Corrigan
CREDITS_NAMES_ASTILL			Alex Still	Alex Still	Alex Still	Alex Still	Alex Still
CREDITS_NAMES_DFELLOWS			David Fellows	David Fellows	David Fellows	David Fellows	David Fellows
CREDITS_NAMES_NGRIFFITH			Natalie Griffith	Natalie Griffith	Natalie Griffith	Natalie Griffith	Natalie Griffith
CREDITS_NAMES_JSCARCLIFFE			Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe	Joff Scarcliffe
CREDITS_NAMES_SLAWRENCE			Steve Lawrence	Steve Lawrence	Steve Lawrence	Steve Lawrence	Steve Lawrence
CREDITS_NAMES_CHART			Caroline Hart	Caroline Hart	Caroline Hart	Caroline Hart	Caroline Hart
CREDITS_NAMES_LOSBORN			Laynie Osborn	Laynie Osborn	Laynie Osborn	Laynie Osborn	Laynie Osborn
CREDITS_NAMES_JPINNOCK			Jackie Pinnock	Jackie Pinnock	Jackie Pinnock	Jackie Pinnock	Jackie Pinnock
CREDITS_NAMES_APARKER			Alison Parker	Alison Parker	Alison Parker	Alison Parker	Alison Parker
CREDITS_NAMES_CSTRINGER			Carla Stringer	Carla Stringer	Carla Stringer	Carla Stringer	Carla Stringer
CREDITS_NAMES_DCARBERY			Dani Carbery	Dani Carbery	Dani Carbery	Dani Carbery	Dani Carbery
CREDITS_NAMES_JLYONS			Jacqui Lyons	Jacqui Lyons	Jacqui Lyons	Jacqui Lyons	Jacqui Lyons
CREDITS_NAMES_GHERBERT			Guy Herbert	Guy Herbert	Guy Herbert	Guy Herbert	Guy Herbert
CREDITS_NAMES_CTHORNICROFT			Caroline Thornicroft	Caroline Thornicroft	Caroline Thornicroft	Caroline Thornicroft	Caroline Thornicroft
CREDITS_NAMES_STHORBURN			Susie Thorburn	Susie Thorburn	Susie Thorburn	Susie Thorburn	Susie Thorburn
CREDITS_NAMES_NDAVIES			Nigel Davies	Nigel Davies	Nigel Davies	Nigel Davies	Nigel Davies
CREDITS_NAMES_AOLIVER			Andrew Oliver	Andrew Oliver	Andrew Oliver	Andrew Oliver	Andrew Oliver
CREDITS_NAMES_POLIVER			Philip Oliver	Philip Oliver	Philip Oliver	Philip Oliver	Philip Oliver
CREDITS_WB			Warner Bros. Interactive Entertainment	Warner Bros. Interactive Entertainment	Warner Bros. Interactive Entertainment	Warner Bros. Interactive Entertainment	Warner Bros. Interactive Entertainment
CREDITS_WB_EXEC_PRODUCER			Executive Producer	Executive Producer	Executive Producer	Executive Producer	Executive Producer
CREDITS_WB_BSKOGEN			Brett Skogen	Brett Skogen	Brett Skogen	Brett Skogen	Brett Skogen
CREDITS_WB_PRODUCER			Producer	Producer	Producer	Producer	Producer
CREDITS_WB_LMCTIGHE			Louise McTighe	Louise McTighe	Louise McTighe	Louise McTighe	Louise McTighe
CREDITS_WB_CREATIVE_DIRECTOR			Creative Director	Creative Director	Creative Director	Creative Director	Creative Director
CREDITS_WB_CCARNEY			Charles Carney	Charles Carney	Charles Carney	Charles Carney	Charles Carney
CREDITS_WB_ART_DIRECTOR			Art Director	Art Director	Art Director	Art Director	Art Director
CREDITS_WB_AHELBIG			Allen Helbig	Allen Helbig	Allen Helbig	Allen Helbig	Allen Helbig
CREDITS_WB_PTUMMINELLO			Peter Tumminello	Peter Tumminello	Peter Tumminello	Peter Tumminello	Peter Tumminello
CREDITS_WB_VO_DIRECTOR			Voice Over Director	Voice Over Director	Voice Over Director	Voice Over Director	Voice Over Director
CREDITS_WB_CSUNDERMAN			Collette Sunderman	Collette Sunderman	Collette Sunderman	Collette Sunderman	Collette Sunderman
CREDITS_WB_STUDIO_ENGINEER			Studio Engineer	Studio Engineer	Studio Engineer	Studio Engineer	Studio Engineer
CREDITS_WB_ECORNELL			Edward Cornell	Edward Cornell	Edward Cornell	Edward Cornell	Edward Cornell
CREDITS_WB_VOICE_TALENT			Voice Talent	Voice Talent	Voice Talent	Voice Talent	Voice Talent
CREDITS_WB_JALASKEY			Joe Alaskey	Joe Alaskey	Joe Alaskey	Joe Alaskey	Joe Alaskey
CREDITS_WB_JCUMMINGS			Jim Cummings	Jim Cummings	Jim Cummings	Jim Cummings	Jim Cummings
CREDITS_WB_MLAMARCHE			Maurice LaMarche	Maurice LaMarche	Maurice LaMarche	Maurice LaMarche	Maurice LaMarche
CREDITS_WB_BWEST			Billy West	Billy West	Billy West	Billy West	Billy West
CREDITS_WB_SPECIAL_THANKS			Special Thanks	Special Thanks	Special Thanks	Special Thanks	Special Thanks
CREDITS_WB_PERWIN			Philip Erwin	Philip Erwin	Philip Erwin	Philip Erwin	Philip Erwin
CREDITS_WB_MHARKAVY			Michael Harkavy	Michael Harkavy	Michael Harkavy	Michael Harkavy	Michael Harkavy
CREDITS_WB_RSEBASTIAN			Rob Sebastian	Rob Sebastian	Rob Sebastian	Rob Sebastian	Rob Sebastian
CREDITS_WB_SJOHNSON			Scott Johnson	Scott Johnson	Scott Johnson	Scott Johnson	Scott Johnson
CREDITS_WB_JMOLINARO			Jim Molinaro	Jim Molinaro	Jim Molinaro	Jim Molinaro	Jim Molinaro
CREDITS_WB_LBOND			Lorri Bond	Lorri Bond	Lorri Bond	Lorri Bond	Lorri Bond
CREDITS_WB_JMCNALLY			Julie McNally	Julie McNally	Julie McNally	Julie McNally	Julie McNally
CREDITS_WB_AKIRSHEN			Ames Kirshen	Ames Kirshen	Ames Kirshen	Ames Kirshen	Ames Kirshen
CREDITS_WB_DBINNIE			David Binnie	David Binnie	David Binnie	David Binnie	David Binnie
CREDITS_WB_HBEHRENDT			Heidi Behrendt	Heidi Behrendt	Heidi Behrendt	Heidi Behrendt	Heidi Behrendt
CREDITS_WB_DUBBING			Warner International Dubbing	Warner International Dubbing	Warner International Dubbing	Warner International Dubbing	Warner International Dubbing
CREDITS_WB_CFRIZAT			Catherine Frizat	Catherine Frizat	Catherine Frizat	Catherine Frizat	Catherine Frizat
CREDITS_WB_JBARREAU			Jacques Barreau	Jacques Barreau	Jacques Barreau	Jacques Barreau	Jacques Barreau
CREDIT_I			Infogrames	Infogrames	Infogrames	Infogrames	Infogrames
CREDIT_I_MARKETING_DIRECTOR			Marketing Director	Marketing Director	Marketing Director	Marketing Director	Marketing Director
CREDIT_I_K_ORDERS			Kerri Orders	Kerri Orders	Kerri Orders	Kerri Orders	Kerri Orders
CREDIT_I_PRODUCTION_DIRECTOR			Production Director	Production Director	Production Director	Production Director	Production Director
CREDIT_I_EPROTIERE			Edith Protiere	Edith Protiere	Edith Protiere	Edith Protiere	Edith Protiere
CREDIT_I_PRODUCER			Producer	Producer	Producer	Producer	Producer
CREDIT_I_HSTRANDBERG			Henrik Strandberg	Henrik Strandberg	Henrik Strandberg	Henrik Strandberg	Henrik Strandberg
CREDIT_I_BRAND_MANAGER			Brand Manager	Brand Manager	Brand Manager	Brand Manager	Brand Manager
CREDIT_I_LARNAUD			Lionel Arnaud	Lionel Arnaud	Lionel Arnaud	Lionel Arnaud	Lionel Arnaud
CREDIT_I_PRODUCT_MANAGER			Product Manager	Product Manager	Product Manager	Product Manager	Product Manager
CREDIT_I_BAUGUIN			Benoit Auguin	Benoit Auguin	Benoit Auguin	Benoit Auguin	Benoit Auguin
CREDIT_I_EDITION			Edition	Edition	Edition	Edition	Edition
CREDIT_I_PCHOUZENOUX			Patrick Chouzenoux	Patrick Chouzenoux	Patrick Chouzenoux	Patrick Chouzenoux	Patrick Chouzenoux
CREDIT_I_MMEGOZ			Michel Mégoz	Michel Mégoz	Michel Mégoz	Michel Mégoz	Michel Mégoz
